2akf:B:B1	B_B D452 E456
5mxy:A:A1_A2	A_A E81 E85:A_A Q41 H42
2oo4:A:A1	A_A E1525 H1574 H1638
8yqt:G:G1	G_G C73 C76 C96 C98
1p91:A:A1	A_A C5 C8 H25
3swf:B:B1	B_B E13 D17
3fym:A:A1	A_A E1031 H1035
6h56:A:A1	A_A H935 E983
5gy6:A:A1	A_A H34 H37 E53
8vdl:C:C1	C_C E590 H702
1nwp:A:A1	A_A D23 S25
3t3w:F:F1	F_F E99 E160 H249 H253
3f0d:A:A1	A_A D10 H12 H44
6ih0:A:A1	A_A H74 H226 D230
8t03:A:A1	A_A H48 H180 H184
2vo9:A:A1	A_A H80 D87 H133
6i5s:A:A1_A2	A_A K183 H210 H229:A_A H94 H96 K183 D348
7aov:A:A1	A_A C53 C65 C67 H74
4wcj:A:A1	A_A D115 H173 H178
4qpl:A:A1_A2	A_A C36 C39 C56 C59:A_A C51 H53 C70 C73
2b65:A:A1	A_A Y342 T343 H606
2ayd:A:A1	A_A C332 C337 H361 H363
3oa4:A:A1	A_A H11 E58 H82 E132
4m9v:C:C1_C2	C_C C170 C173 H186 H190:C_C C142 C145 H158 H162
3w0f:A:A1	A_A C255 C277 C280
1no5:B:B1_B2_B3	B_B D46 D48:B_B D46 D48 D79:B_B E67 E71
3ebe:C:C1	C_C C381 C391 C403 H406
1ocy:A:A1	A_A H445 H447
6y5p:A:A1_A2	A_A C411 C414 H449 C452:A_A C444 H446 C468 C471
3n55:A:A1	A_A G71 D74 D91 T93
5ldw:R:R1	R_R C59 H68 C84 C87
5lsv:A:A1_A2_A3	A_A H1 H91 Y224:A_A D36 D38:A_A D102 S104
9dtr:L:L1_L2_L3	L_L C104 C105 C108:L_L C104 C122 C150 C153:L_L C108 C120 C122 C145
8i3f:B:B1_B2	B_B C263 C266 H283 C286:B_B C275 C278 C303 C306
3lzn:A:A1	A_A H42 M88 H95
4axv:A:A1	A_A H48 E51 H156
4ckv:X:X1	X_X H147 H223
7uy8:A:A1	A_A C1248 C1273 C1275
2er8:A:A1_A2	A_A C37 C57 C60 C67:A_A C37 C40 C47 C57
4mn5:A:A1	A_A H271 D274 H364 E368
8tyx:B:B1	B_B H94 H96 D106
6dqh:A:A1	A_A H116 H118 H192
3rf4:A:A1	A_A E20 D24
1xru:A:A1	A_A H196 H198 E203 H245
1q08:A:A1_A2	A_A C114 C124:A_A C115 H119
5xlk:C:C1	C_C D201 D205
4dyu:H:H1	H_H D78 E82
4k0d:B:B1_B2	B_B D42 E46:B_B E106 H169
5j6p:B:B1	B_B C25 C28 C79 C82
5dor:B:B1	B_B H269 H273
4ggj:A:A1	A_A C49 C66 C68 H72
3dtk:A:A1_A2	A_A H82 E113:A_A E83 H86
5vjw:A:A1_A2	A_A D47 N80 H213 H266:A_A D13 H15 D47
1v7z:A:A1	A_A H36 D45 E183
7o71:M:M1	M_M C97 H110 C125 C128
2xjy:A:A1_A2_A3_A4	A_A C30 C33 H51 C54:A_A C57 C60 C80 D83:A_A C94 C97 H116 C119:A_A C122 C125 C144 D147
4jnj:A:A1_A2	A_A H87 E113:A_A G12 E14
2y0o:A:A1	A_A H69 H71 E82 H137
2jks:A:A1_A2_A3_A4_A5	A_A E190 H311 H313:A_A E266 H310:A_A H123 E125:A_A E194 H312:A_A E96 D205
1fio:A:A1_A2	A_A M30 H31:A_A H75 H78
6ggo:A:A1	A_A H182 H186 D193
5mkw:A:A1	A_A C20 C23 C96 C99
4n9v:A:A1	A_A D11 C35
2rc5:A:A1	A_A E189 H224
9gky:A:A1	A_A D174 H176 D251
2ims:A:A1	A_A D160 H164
1nui:A:A1	A_A C17 C20 C36 C39
4yci:C:C1	C_C H359 K368
3mbg:A:A1_A2	A_A H172 E176:A_A E101 H105
5aun:A:A1	A_A C73 C76 C110 C113
3cew:A:A1	A_A H43 H45 E50
4gbm:A:A1_A2	A_A H258 D266:A_A H272 D276
3jyg:A:A1	A_A H15 H38 H40
8djh:A:A1_A2_A3	A_A E11 D15:A_A E84 E85:A_A E33 H35
2pgf:A:A1	A_A H42 H44 H226 D310
3g8q:A:A1	A_A H44 C70
1hz5:A:A1_A2	A_A H-5 H-3:A_A H-4 H-2 E2 E27
4y0x:A:A1	A_A C106 C109 C128 C131
3dxs:X:X1	X_X C13 C16
2eh9:A:A1_A2	A_A C53 E56:A_A E29 E108
5iyb:U:U1	U_U C263 C291 C294
8c8b:A:A1_A2	A_A H732 H734 H793 D815:A_A H737 D815
1r4v:A:A1_A2	A_A E158 E161:A_A E21 D46
8exr:A:A1	A_A H201 H205 E242
1jaz:A:A1	A_A D100 H197
2glz:A:A1	A_A H15 H17 C19 C55
2cjs:C:C1_C2	C_C C92 C95 C116 C119:C_C C108 C111 C134 C137
8tkz:B:B1_B2	B_B S0 E98 E101:B_B E19 H426
5w9q:A:A1_A2	A_A C350 C353 C356 C372:A_A C338 C341 C344 C377
6n9m:A:A1	A_A H12 H14 H197 D278
3kb1:A:A1	A_A C196 C199
5gv3:B:B1_B2_B3	B_B H108 D109:B_B K148 H168 E182:B_B D25 E41
1yix:A:A1_A2	A_A H7 H9 E94 D205:A_A E94 H130 H155
1y9q:A:A1	A_A H122 E128 H162 Y164
6ren:A:A1_A2_A3_A4	A_A H58 H142 H226:A_A H199 H226 H241:A_A H115 H142 H157:A_A H31 H58 H73
3oaj:A:A1	A_A H11 H218 E266
4kfu:A:A1	A_A D39 H41 D73 H108
8df2:A:A1	A_A H223 H227 H233
6p20:D:D1	D_D H41 H46 C74 H76
4ii1:B:B1	B_B C180 C188 C194 H198
7diq:A:A1	A_A H49 E51
3htk:C:C1	C_C C200 H202 C221 C226
6ven:N:N1	N_N C1068 C1070 K1076
8odq:A:A1	A_A D42 C67 C131
4nqy:A:A1	A_A C365 C368
5yug:E:E1_E2_E3	E_E C52 H56 H73 C76:E_E C65 C68 C93 C96:E_E C11 C16 C39 C42
4i1s:B:B1_B2	B_B C194 C206 C208 C211:B_B H171 C190 C215 C218
7rwk:A:A1	A_A C21 C24 H79
4kuj:B:B1	B_B H195 H253 C255 C259
5jp6:A:A1	A_A D177 H227 Y280
1gl4:A:A1	A_A D511 H513 H515
4r2y:A:A1_A2_A3_B2	A_A C23 C26 H56 C59:A_A C51 H53:A_A C34 C37 C44 H58:A_B C73 C76
2orw:B:B1	B_B C140 C143 C173 C176
6pid:A:A1	A_A D195 H197 D284
7txc:E:E1_E2_E3	E_E C535 C538 H551 H555:E_E C507 H523 H527:E_E C566 H579 H583
8dy7:I:I1	I_I C19 D123
1yc5:A:A1	A_A C124 C127 C148 C151
4a46:A:A1	A_A C12 C15
4tzh:A:A1_A2	A_A H71 D94:A_A E82 E106
2y7i:A:A1_A2_A3	A_A D72 D157:A_A H26 D84:A_A D40 D42
4cc9:B:B1	B_B H39 H82 C87 C89
2z8f:A:A1_A2	A_A D38 H326 E329:A_A H70 D72
7yc6:A:A1_A2_A3_A4	A_A C76 H163:A_A E128 C145:A_A E128 C145:A_A D106 H141
6h8n:B:B1	B_B D261 H311 H315
2y1h:B:B1_B2	B_B H12 H14 E107 D218:B_B E107 H147 H170
3m9g:A:A1	A_A E429 D432
4wai:A:A1	A_A C25 C30
1u9k:A:A1	A_A E33 T134
1bp3:B:A1	B_A D387 H388
6ks1:A:A1	A_A H202 H348 H352
5gja:A:A1	A_A H180 D182 H237
7tw9:A:A1	A_A C452 C477 C484 H487
2z30:B:B1	B_B H28 D42
1waa:C:C1	C_C E48 H61
7og7:A:A1	A_A C59 C62 C88 D92
6hwr:A:A1	A_A D164 N201 H286 H323
2qpx:A:A1_A2	A_A H17 H19 K166 D317:A_A K166 H227 H263
4mj7:A:A1	A_A C64 C89 H91 C102
4hcg:A:A1_A2	A_A H78 C113 H116 M121:A_A E110 K124
1k3x:A:A1	A_A C237 C240 C257 C260
4lx9:A:A1	A_A H137 E176
2i0m:A:A1_A2	A_A D152 D156 E191 D195:A_A E91 D95
4hp3:C:C1_C2	C_C C65 C68 C71 C98:C_C C77 C80 C83 C93
3gyy:D:D1_D2_D3	D_D H32 D227:D_D E92 E96:D_D E9 E121
1cy5:A:A1_A2_A3_A4	A_A E17 I91 P92:A_A D27 E40:A_A H28 D32:A_A H28 E78
5syb:A:A1_A2_A3	A_A C11 C46 C49 C85:A_A C30 C33 C72 C75:A_A C23 C26 C58 C61
4muq:A:A1	A_A H107 D114 H167
4ixn:A:A1_A2	A_A E74 H114:A_A E167 H170
5grq:C:C1	C_C D1259 D1261 D1264
4obi:A:A1	A_A C97 D102 C118
7vi8:B:B1	B_B D10 H60 H124
6z5a:A:A1	A_A C467 H477 H563
5v1v:A:A1_A2_A3	A_A H11 E41:A_A E47 D51:A_A E79 E82
1kol:A:A1_A2	A_A C46 H67 D169:A_A C97 C100 C103 C111
2qee:E:E1	E_E H26 H28 D355
1n4q:B:B1	B_B D269 C271 H321
6x7q:C:C1	C_C E18 H22
6iff:A:A1	A_A H322 H326 E345
6md3:C:C1	C_C C31 C36 C39 H153
5zrq:A:A1_A2_A3	A_A E220 D250 E296:A_A D204 T206:A_A G43 D46 E50
4rot:A:A1	A_A D226 H228
7yrb:A:A1_A2_A3	A_A C868 C872 C890 C899:A_A C835 C865 C868 C888:A_A C853 C856 H873 H876
5k7j:B:B1	B_B H179 H183 H210
6dxs:A:A1	A_A H8 H10 H178
3su6:A:A1	A_A C1097 C1099 C1145 H1149
4ntk:A:A1	A_A H16 H31 H33
6fue:A:A1	A_A E10 E13
3kde:C:C1	C_C C4 C7 C44 H47 S75 K76
3d00:A:A1	A_A C165 C168 C180 C183
6s3a:A:A1	A_A C269 C273 C281 C286
6r7v:A:A1	A_A C23 H224 H228 H234
3lqb:A:A1	A_A H99 H103 H109
1ud9:A:A1_A2_A3	A_A D90 D92:A_A E167 S245:A_A H2 E58
5of3:A:A1	A_A C116 C119 C128 D131
1ia6:A:A1	A_A C22 C38 H39 H55
5ylg:A:A1	A_A D35 N37
6l2m:A:A1	A_A H54 C84 C87
5a3d:B:B1	B_B C191 C194 C213 C216
3lcz:A:A1	A_A C12 C15 C26 C29
4knk:B:B1	B_B H265 H370 D384
6shk:A:A1_A2	A_A E5 D9:A_A D24 D28
3lqh:A:A1_A2	A_A C1569 C1572 H1596 C1599:A_A C1588 C1591 C1621 C1624
3ifu:A:A1_A2	A_A C70 C76 H146 M180:A_A C10 C25 C28
1ro2:A:A1_A2	A_A H141 H188:A_A H53 E215
5tpr:A:A1	A_A E198 H271 H287
4paw:A:A1	A_A H17 H25 C185 C188
3m7n:A:A1	A_A C143 C146 C159 C162
7q4o:1:11	1_1 C56 C59 H72 H78
5tsh:E:E1	E_E C458 C461 C493 C496
4xxb:B:B1	B_B C305 C308 C319 C322
4e45:E:D1	E_D H751 C755
8ela:A:A1	A_A E166 N170
1q7l:A:A1_A2	A_A H80 D113 E175:A_A D113 E148
2h1i:A:A1	A_A H127 D153 H184
7po9:A:A1	A_A C14 C17 C60 C63
1bi0:A:A1	A_A H79 E83 H98
7n9z:G:G1	G_G M186 M189
5wri:B:B1	B_B H267 E269
6hsh:B:B1	B_B D186 H188 D285
3g8r:B:B1	B_B H202 H225
3ls1:A:A1_A2	A_A E107 H111 D137:A_A H76 D116
4ixj:B:B1	B_B C36 C81 C111 H114
2v8l:A:A1	A_A A1 D12
7abw:A:A1	A_A H34 H83
5i8g:A:A1_A2_A3	A_A C1199 C1200 H1291 C1294:A_A C1283 C1286 C1308 C1311:A_A C1213 C1219 C1237
8eb5:A:A1	A_A C51 C54 H71 C73
7ndj:B:B1	B_B C306 C312 C318 H322
6cw3:E:E1_E2	E_E C7 C10 C31 C34:E_E C22 C25 H44 H48
7dg2:A:A1_A2	A_A C185 C188 H206 C209:A_A C198 C201 C222 C225
8ba5:A:A1_A2_A3	A_A C494 C497 C514 C517:A_A C537 C540 C559 C562:A_A C549 C554 C583 C586
7vmx:B:B1	B_B H12 H78
1vk9:A:A1_A2	A_A H-4 H-2 E50:A_A H76 D98
3sjp:A:A1_A2	A_A H347 D370:A_A D341 E376
3gsh:A:A1	A_A N29 D33
3e9q:B:B1	B_B M30 E59
5a3a:A:A1	A_A C145 C149 C180 C183
1svm:A:A1	A_A C302 C305 H313 H317
4e5v:A:A1	A_A H39 H116 E198 H249
2x5r:A:A1_A2_A3	A_A C80 C83 C112:A_A H92 D110:A_A H27 E37
6ze9:A:A1	A_A H-3 H-1
7x0r:B:B1_B2_B3	B_B Y351 D354 D355:B_B E97 D101:B_B E68 D276
8z4l:G:G1	G_G C70 S87
6htj:A:A1	A_A C24 C27 C38 C41
6muk:A:A1	A_A H295 D299 H375
9fgp:A:A1	A_A E125 D164
3kdk:A:A1_A2	A_A E468 H606:A_A H464 E468
1btg:B:B1	B_B H84 D105
2vrs:C:C1	C_C H287 Y289
6m6s:A:A1	A_A C952 C955 C1007 C1010
2y7e:B:B1	B_B H46 H48 E230
1kq3:A:A1	A_A D169 H252 H269
3nyb:B:B1_B2	B_B C123 C126 H131 C136:B_B C164 C167 H172 C177
8vwh:A:A1	A_A C18 C49 H52
5wfi:A:A1	A_A C1794 C1796 C1828 C1830
1ro5:A:A1	A_A G397 S398 H399
2iim:A:A1	A_A H76 D79
8yqt:H:H1	H_H C7 C10 C65 C66
2dh3:A:A1	A_A D439 H441 H455
2a1k:A:A1	A_A H64 C77 C87 C90
3pao:A:A1	A_A H16 H18 H196 D277
5umh:B:B1	B_B Y164 Y200 H224 H226
4bf7:A:A1_A2_A3_A4_A5_A6_A7	A_A E275 D332:A_A D317 D320:A_A E15 D302:A_A H150 D152:A_A D283 D287:A_A E136 E246:A_A D88 D91
2djw:B:B1	B_B E50 D54
6b9v:A:A1	A_A C23 C25 C28 H234
8hf3:A:A1_A2	A_A C141 C144 H154:A_A C155 C158 H168
8t05:A:A1	A_A Q44 H48 H182 H186
7t9x:A:A1	A_A C10 C13 C30 C33
5doc:A:A1	A_A C34 C50 C53 H139
2f4m:A:A1	A_A C247 C250 C280 C283
7puj:A:A1_A2	A_A D316 R320:A_A D184 D221
7t1u:B:B1	B_B D192 D194
5zon:A:A1_A2	A_A D44 E67 E68 D83:A_A E67 D83 D213
8s1p:1:11	1_1 C9 C12 C36 D39
3l9x:A:A1	A_A Y1010 H1012
6rmr:A:A1	A_A D270 N387
2a0b:A:A1	A_A H728 E754 E758
8c61:J:J1_J2_J3	J_J H67 C69 C74 C77:J_J H133 C145 C150A H153:J_J C166 C169 C225 C229
7qce:A:A1_A2_A3	A_A C136 C141 C152 C155:A_A C157 C160 H191 C194:A_A C175 C186 C218 C221
3l7t:B:B1	B_B H8 E55
2gwn:A:A1_A2	A_A K149 H181 H239:A_A Q63 H65 K149 D313
3dst:B:B1	B_B D238 C240 H290
5xfo:A:A1_A2_A3_A4	A_A C107 C110 C136 C139:A_A C90 C93 H115 C118:A_A C189 C191 H212 C215:A_A C204 C207 C234 C237
5vxa:A:A1	A_A H35 H61 D62 D122
7v0f:A:A1_A2	A_A H28 H30:A_A H45 H188
5nus:B:B1_B2	B_B C401 C404 C484 C487:B_B C476 C479 C498 C501
3tg0:A:A1_A2	A_A D51 S102 D369 H370:A_A D327 H331 H412
7xa4:A:A1_A2	A_A E19 E52 H55:A_A E52 E96 E132
4cog:A:A1	A_A D54 H160 E172
5whg:A:A1	A_A C74 H90 H96
6ds6:A:A1_A2	A_A C14 C17 C36 C39:A_A C27 C30 H45 H47
8wtc:B:B1	B_B C99 E101 C102
4yn2:A:A1	A_A H1 H142
8x3w:A:A1_A2	A_A H263 E275:A_A E54 E81
6jx3:B:B1	B_B E13 D27
5xbn:A:A1	A_A H115 H119 H125
8rxg:A:A1	A_A H244 H296
1j2x:A:A1	A_A E503 E517
3lpe:B:B1	B_B C4 C7 C16 C19
4c24:A:A1	A_A G25 H93 H95 H155
8ytg:A:A1_A2	A_A C506 C509 C530 C533:A_A C521 H527 C549 C555
4wd8:A:A1_A2	A_A H108 H111:A_A D261 D269
7ood:z:z1	z_z C11 C14 C38
2apo:B:B1	B_B C409 C412 C421 C424
8yv8:K:K1_K2_K3	K_K C270 C273 C300:K_K C284 C289 R293:K_K H271 C329 C332
6jed:A:A1_A2	A_A H77 H79 H139:A_A D81 C158 H197
5szc:A:A1_A2_A3_A4	A_A C262 C265 H292 C295:A_A C284 C287 C313 C316:A_A C319 C322 H342 C345:A_A C334 C337 C360 C363
6zpa:A:A1	A_A H34 H66 D67 D119
3tc8:A:A1	A_A D147 D180 H301
2fqp:C:C1	C_C H33 H35 H76
4ov4:A:A1	A_A D15 H207 H209
3sub:A:A1	A_A C22 C25 C42 C45
1kq9:A:A1_A2	A_A D251 D262 E459:A_A D262 H331 E364 E459
3eer:A:A1	A_A C61 C124
1p6o:A:A1	A_A H62 C91 C94
5wam:B:B1	B_B E88 D107
4qp5:A:A1	A_A H279 D283 H362
6wn9:A:A1	A_A D457 H578
4zur:A:A1	A_A D195 H197 D284
4lmg:B:B1_B2	B_B C86 C109 H133 H135:B_B D53 H55
6a58:A:A1_A2_A3_A4	A_A C1245 C1250 H1263 H1280:A_A C1268 C1273 H1286 H1290:A_A C1298 C1303 H1316 H1320:A_A C1328 C1333 H1346 H1352
5i4j:A:A1	A_A H78 E82
3a1z:B:B1_B2_B3_B4	B_B D36 H206:B_B D135 H141:B_B H96 D119:B_B D94 H96
5ih4:A:A1	A_A H50 C71
6rb4:A:A1	A_A C121 C122 C128 C131
1hi9:A:A1_A2	A_A D8 H104 E133:A_A D8 E10 H60
4v33:A:A1	A_A D206 H264 H268
2ci6:A:A1	A_A C273 K280
2xl9:B:B1	B_B H88 H90 E95 H149
3ubf:A:A1_A2_A3_A4_A5_A6	A_A E498 D535 D573:A_A H579 E595:A_A D571 H576 D622:A_A D496 D575:A_A E662 E715 D748:A_A E715 D748
6cko:B:B1	B_B E737 H764
1y0y:A:A1_A2	A_A H68 D182 D235:A_A D182 E213 H323
7c7e:A:A1	A_A D146 H150 H195
2hap:C:C1_C2	C_C C64 C67 C74 C81:C_C C64 C81 C84 C93
3iek:A:A1_A2	A_A D63 H64 D162 H400:A_A H59 H61 H141 D162
3adr:A:A1_A2	A_A H58 H60 H148 D165:A_A D62 H63 D165 H207
3gc9:B:B1	B_B E245 D292 D294
4z8y:B:B1	B_B D43 D166
7nx4:A:A1	A_A D732 H983
8qby:R:R1	R_R C18 H28 C44 C47
4yj0:B:B1_B2	B_B H82 C100 C105:B_B C76 H91 C95
6dnt:A:A1	A_A E209 H275
6agb:K:K1	K_K C90 C115
6srt:A:A1	A_A H47 H144 C152
2h6l:A:A1	A_A H89 H91 H104
3kwo:A:A1_A2	A_A E38 E41:A_A D52 E56
4zo2:B:B1_B2	B_B H145 H147 H237 D258:B_B D149 H150 D258 H305
3na7:A:A1	A_A C199 C202 C223
6ya6:A:A1	A_A C351 C353 C360 C363
1cg2:A:A1_A2	A_A D141 E176 H385:A_A H112 D141 E200
3cne:A:A1	A_A C74 C111
3gox:A:A1_A2	A_A C68 C71 C97 C100:A_A C130 C133 C161 C164
8kce:A:A1	A_A E31 E70 H73 D142
6c2c:A:A1_A2	A_A D118 H119 D221 H268:A_A H114 H116 H200 D221
3hsv:A:A1	A_A E113 E160
3lgd:A:A1	A_A H86 H88 H330 D415
7b3n:B:B1	B_B H17 E32 H85
3di4:A:A1	A_A C150 C167 C237
7qul:A:A1_A2	A_A C94 C97 C100 C108:A_A C42 H65 E66 D156
2y5q:A:A1_A2	A_A E270 H312:A_A D275 H286
6epb:A:A1	A_A H205 D232
5a89:A:A1	A_A H186 D321 H325
6kc5:B:B1_B2_B3_B4	B_B C871 C874 C890:B_B C898 C901 H926 C930:B_B C911 C916 H923 H925:B_B C969 C986 C998 H1001
2oh3:A:A1	A_A E104 E134 H137
6on5:A:A1	A_A C36 H57
1hfe:S:S1	S_S H82 D86
7zgr:B:B1_B2	B_B C67 C75 C81 H85:B_B C34 C52 H56
8cr4:A:A1	A_A H140 H144 E164
9fzk:B:B1_B2	B_B H257 C261 H264 C279:B_B C207 C226 H229
7n2z:A:A1	A_A E31 E34 H35
9f9u:A:A1	A_A D8 C11 C18 C21
7pok:A:A1	A_A C18 C21 C66 C69
1ons:A:A1	A_A H85 E90 H122
4nn2:A:A1_A2_A3	A_A C212 C215 H239 C242:A_A C280 C283 H302 C305:A_A C292 C297 C326 H329
8zag:A:A1	A_A C340 C343 C364 S367
6fvs:D:D1	D_D H49 E98
4xqa:A:A1	A_A H231 E351
6rz0:A:A1_A2	A_A H53 H55 H110 D127:A_A D57 H58 D127 H165
4lmy:B:B1_B2	B_B H4 H6 N15 H19 H97 H99:B_B C104 C107 C144 C147
4onx:E:D1	E_D E72 H76
2avu:E:E1	E_E C137 C140 C157 C160
2hjg:A:A1	A_A H375 H406
2d0w:A:A1_A2_A3	A_A G64 H65 E68:A_A H106 D109:A_A D77 Y79
1r85:A:A1_A2_A3_A4	A_A H11 D365:A_A E58 H322:A_A E27 S307 I310:A_A D297 A374 D377 K379
5abx:A:A1	A_A H126 E130
7roy:A:A1	A_A C186 H218
3e1z:A:A1	A_A E23 H72 H74
4xba:A:A1	A_A C200 C203 H217 E221
6o5k:A:A1_A2	A_A C154 C157 C175 C178:A_A C167 C170 H182 H191
6lks:A:K1	A_K E68 H137
1xki:A:A1_A2_A3	A_A E73 K76:A_A H96 E125:A_A H92 D129
3s2j:A:A1_A2	A_A H20 D22 E123:A_A E123 H191 H212
3wwl:A:A1	A_A C5 C8 C25 C28
1njg:A:A1	A_A C64 C73 C76 C79
9edl:B:B1_B2	B_B E62 E125:B_B C57 K59 C60 H175
5l12:B:B1	B_B D10 H12 H44
1vs0:B:B1	B_B X481 D483 E613
7b2i:A:A1	A_A C351 C353 C356 H382
4ci0:B:B1	B_B C206 C208
1iwl:A:A1	A_A H50 E56
2oik:C:C1	C_C C11 C14 H49 H95
4cvr:A:A1_A2_A3	A_A H28 E44 D90:A_A E18 E51 H54 E127:A_A E51 E94 E127 H130
3un6:A:A1	A_A H46 C220 C221
5emi:A:A1	A_A H447 E462 H515
5ucs:A:A1	A_A H83 E134 H180 H210
6lxt:E:A1	E_A D1163 D1165
2j6x:D:D1	D_D E229 H233
1u0a:A:A1	A_A H145 D161
8wzy:A:A1_A2	A_A H56 H58 K150 D267:A_A K150 H184 H207
3plw:A:A1_A2	A_A H112 H134 H153:A_A C96 C99 C130 H133
7cv2:A:A1	A_A E91 H150 H152
1ty2:A:A1	A_A H203 D205
4fxo:B:B1	B_B K36 E244 H287
4odr:A:A1_A2	A_A H97 H99 H101:A_A D6 H33
6o3p:B:B1	B_B C284 C287 C302 C307
4l8h:B:B1	B_B D102 E103
3b6p:A:A1	A_A D18 E20 D200
2yjp:A:A1_A2	A_A H176 E178:A_A E98 D185
8d2z:A:A1	A_A H79 H81 H166
2x2o:A:A1	A_A E50 D54
2zsg:A:A1	A_A D229 E322 E336
7duf:A:A1_A2	A_A C30 C33 C57 C60:A_A C15 C18 H38 C41
3tj9:A:A1	A_A H102 E154
8zcr:A:A1_A2_A3_A4_A5	A_A D22 H286:A_A H208 D234:A_A C98 E306:A_A H113 E115:A_A E63 H67
1ve0:A:A1	A_A H77 N83 H87
4r2j:A:A1	A_A H117 H119
3o94:B:B1	B_B D53 H55 E64 H71
3g9m:A:A1_A2	A_A C440 C443 C460:A_A C476 C482 C492 C495
1h2b:B:B1_B2	B_B C54 H79 D168:B_B D109 C112 C115 C123
4myp:A:A1_A2	A_A H277 D294:A_A D255 D257
1m65:A:A1	A_A H15 H40 H194
4nix:A:A1	A_A H143 H151
7d9l:A:A1	A_A H67 E170
5v5h:A:A1	A_A H56 H59
7fdy:A:A1	A_A H82 H132
6qwo:B:B1_B2	B_B H75 D77 H144 D163:B_B D79 D163 Q220 H221
1jke:A:A1	A_A E103 D107
3czt:X:X1	X_X H85 H90
6r5y:C:C1	C_C D24 K28
2pms:C:C1	C_C H166 D168
4txd:A:A1	A_A C130 D149 C152 C155
2oso:A:A1	A_A H116 E139 C142 C150
3k1f:M:M1	M_M C27 C48
5jil:A:A1	A_A E48 H52 D56 H336
5uqp:B:B1	B_B D63 H65 E69 H103
2prs:A:A1	A_A E59 H60 H143 H207
6p1g:A:A1	A_A H83 H87 H111 E113
1sg6:B:B1	B_B E194 H271 H287
3iso:A:A1	A_A D26 H79
3pfo:A:A1_A2	A_A H110 D143 E201:A_A D143 E178 H401
1qx0:A:A1	A_A H150 H161 H163
2vrw:B:B1_B2	B_B H516 C546 C549 C564:B_B C529 C532 H554 C557
5gox:A:A1	A_A C681 C684
2xsn:D:D1	D_D H361 H366 E406
2iv0:A:A1_A2	A_A H388 G393:A_A D301 D305
1shw:A:A1	A_A H53 D55
1t8k:A:A1_A2	A_A E58 H75:A_A D56 E60
5u6z:A:A1	A_A C21 H24 C47 C61
7upn:C:C1	C_C C135 C157
7wn8:A:A1_A2	A_A K59 E115:A_A D80 H108
5jf3:A:A1_A2_A3	A_A C131 H174 H178:A_A H12 D18:A_A E43 E47
3fpc:A:A1	A_A C37 H59 D150
5w0m:A:A1	A_A C1347 C1350 H1355 C1360
2f9i:B:B1	B_B C33 C36 C52 C55
4xi6:A:A1_A2	A_A C85 C88 C109 C112:A_A C100 C103 H118 H122
3ngj:D:D1_D2	D_D D192 H218:D_D C40 C61 D92
8ajq:A:A1_A2	A_A C27 C29 C32:A_A C8 C10 C66 C69
7ms7:A:A1	A_A C199 C202 C219 H232
5gj3:A:A1_A2	A_A D104 D160 D184:A_A H234 D270
2pf4:E:E1_E2	E_E C103 C113 C116:E_E H122 C138 C140 C143
7ubj:A:A1	A_A C118 C121 C144 C147
7zh4:D:D1	D_D C440 C443 C506
1uvq:B:B1	B_B D76 H81
3tht:B:B1	B_B H242 C349
3csv:A:A1	A_A E81 H83
4h4l:A:A1	A_A H73 H77
8jug:A:A1_A2	A_A H163 D165 H178 H191:A_A H214 H218 H224
2x5c:B:B1	B_B C54 C57 H79 H85
6jeb:A:A1	A_A C227 C247 C288
7ob6:A:A1_A2	A_A H-7 H-5 H75:A_A D83 D92 D182
3n3u:A:A1_A2	A_A H3650 E3658:A_A E3594 E3602
1yg9:A:A1	A_A H155 H161 D303 D307
2a8n:B:B1	B_B H53 C83 C86
7cd4:A:A1	A_A H6 H9 E48
3qbe:A:A1	A_A E186 H249 H265
7wql:A:A1_A2	A_A E65 I162:A_A E112 E114
6dps:D:D1	D_D K60 H72 E100
3ea1:A:A1_A2_A3	A_A D224 H227:A_A H61 E278:A_A D74 D75
2w0m:A:A1_A2	A_A H199 E218:A_A H215 E234
5oj7:A:A1	A_A C168 C171 C219 C222
2vun:A:A1	A_A H67 H69 E164 D276
5xch:A:A1_A2	A_A N39 D62 H115:A_A D8 H117
7zyc:A:A1	A_A H50 H52 Q56 H90
7ae5:c:c1	c_c C603 C606 C628 C631
2ygt:A:A1	A_A D52 H284 I289 S290
7uhy:D:D1_D2_D3_D4	D_D C902 C905 C914 C917:D_D C924 H946 H949:D_D C938 C941 C966:D_D C941 H943 C960 C964
5dq0:A:A1_A2	A_A Y375 H377 H399:A_A E284 H312
3mjh:B:B1	B_B C43 C46 H59 H64
4cqb:A:A1	A_A H60 H62 H217 D303
5buo:A:A1_A2_A3	A_A H327 E368:A_A H313 H382 H432:A_A D429 H458
7zhg:F:F1	F_F C128 H139
5zwn:Y:Y1	Y_Y C201 H220 H226
1wkq:A:A1	A_A H53 C83 C86
1x0t:A:A1	A_A C68 C71 C97 C100
1u8b:A:A1	A_A C38 C42 C69 C72
3iib:A:A1_A2	A_A D292 E327 H425:A_A H280 D292 D354
2i56:C:C1_C2	C_C E219 D254 H281 D327:C_C H257 D289
2hbv:A:A1	A_A H9 H11 H177 D294
