2yjg:A:A1	A_A V125 E126 E128
8r4z:A:A1_A2	A_A H264 H322 Q327:A_A H322 T325 Q327
4y7u:A:A1	A_A D107 D205
2bon:A:A1	A_A L215 D218 L220
3k1e:B:B1	B_B L80 D82
4egc:B:B1	B_B D274 D276 D502
3tg0:A:A1	A_A D51 T155 E322
4r94:A:A1	A_A E119 H127 H129
3o6z:A:A1	A_A A85 E104
4cog:A:A1	A_A D60 D62
6gtp:A:A1	A_A L101 Q102 Q104 G105 W106
8gbt:O:N1	O_N D173 E198
7raa:B:B1	B_B T106 A107
4qnr:A:A1	A_A E43 D107
6h7x:A:A1	A_A D305 R336
5a95:A:A1	A_A V178 V181
5x5h:A:A1_A2	A_A E71 Q189 P190 L191:A_A F38 Q40 E51
6yhm:A:A1	A_A C866 G883 N884
3dgb:A:A1	A_A D200 E226 D251
6wud:A:A1_A2	A_A D116 N118 D120 Y122 D127:A_A D157 D159 D161 R163 D168
8hac:B:B1	B_B T34 D57 D145
3v9w:A:A1	A_A D23 E25 H181 D186
5z9x:A:A1	A_A D144 C280 D283
3lgh:A:A1	A_A D73 H75 H105
7adt:A:A1_A3_A4	A_A A81 T83:A_A R41 E45:A_A V25 Q28
8rpr:A:A1_A2	A_A A64 R67:A_A I15 G19
7c1j:A:A1	A_A D522 D565 R567
3ckg:A:A1	A_A T198 A199
4oz6:A:A1	A_A D95 V169
4dkw:A:A1	A_A D321 D459
4wp9:A:A1_A2	A_A L204 F207:A_A D61 D105
6syv:A:A1	A_A H303 E305
7x6f:C:C1	C_C S100 Q102
8xif:A:A1_A2	A_A D70 D72 D170:A_A D70 D72
7zvm:A:A1	A_A H44 H46 E51 H85
8ioo:A:A1_A2	A_A D40 D95 H121 D171:A_A H34 D38 D95
4q2g:B:B1	B_B D239 D266 D269
6ljc:C:C1	C_C E221 D368 D371
2gqs:A:A1_A2	A_A E90 D129:A_A E90 D129
8urq:A:A1	A_A D288 D290
2qui:A:A1	A_A S165 K200
3ro8:A:A1_A2	A_A D14 A296 I299:A_A N182 P183 S184
3tp4:B:B1	B_B A347 D349 T352
4qdi:A:A1	A_A T126 E172
4iik:A:A1	A_A D110 G111
5vrh:A:A1	A_A E381 D403
5gza:A:A1_A2	A_A V90 D225 D227:A_A Q212 D225
7zmf:B:B1	B_B E1155 E1232
5lq1:A:A1	A_A E36 E40 I47
4qdg:B:B1_B2	B_B D64 C65 C114 H152:B_B N179 L301 D302 E304
6ifh:A:A1	A_A D8 D9 D52 K54
4fma:A:A1_A2	A_A N172 Q286:A_A P305 E306 R308 N310
8tf1:A:A1	A_A M21 Q22 G254
6rvm:C:C1	C_C G107 G110
7f6e:B:B1	B_B S26 D28
3c4v:A:A1	A_A R304 A306 T330
6bwh:A:A1_A2	A_A D188 D190:A_A D116 D188 D190
3b5i:A:A1	A_A V183 R265 D266 F268 N269
4z8n:B:B1	B_B Y243 E245 N246
3e8m:A:A1	A_A D10 D12 D103
8kce:A:A1	A_A E70 E112 D115 D142
3c5h:A:A1	A_A S36 E95
1q3b:A:A1	A_A H184 H262
5uc6:A:A1_A2_A3_A4	A_A K11 N13 K60 S61 S62:A_A Y121 F122 T150 F152:A_A Y39 L40 V90 V140:A_A N108 L110 F111 S124
1vm9:A:A1	A_A D96 D97
8jx6:B:B1	B_B T304 D305 E392
5nh6:A:A1	A_A E233 E269 D297 D340
1m0w:A:A1	A_A E146 E386
6fdc:A:A1	A_A D467 D471
5a89:A:A1	A_A T208 N210
5ovo:A:A1_A2	A_A D243 D245:A_A T101 Y122 H123 G125 H158
3b12:A:A1	A_A Y77 F79 D211 D219
5jda:A:A1	A_A H233 N238
1n67:A:A1_A2_A3	A_A N267 A269 V323:A_A A441 L444:A_A K281 D340
1xd3:A:A1_A2	A_A K108 D109:A_A K21 G24 L25 E114
5m1k:B:B1	B_B D294 D429
2qv7:A:A1	A_A K213 D216 Y218
6nmn:A:A1	A_A D50 E52
8zag:A:A1	A_A E80 D164
7cfi:A:A1	A_A E338 E342
5lmv:W:W1	W_W K4 T6 E56
3qbm:A:A1	A_A I110 D113
1s2o:A:A1	A_A D9 D11 D186
5tdf:A:A1	A_A N203 D216
8xdj:B:A1	B_A Q44 E47
9fms:A:A1	A_A E172 D223 E241 L242
6oqa:D:D1	D_D Q2209 Q2212
3no1:C:C1	C_C D215 E241 Q268
7l0a:B:B1_B2	B_B L47 S120 M121:B_B G46 S48 S49
3w40:A:A1	A_A D44 D156 D189
3kzq:B:B1_B2_B3	B_B T72 K73:B_B G18 P21 T72:B_B Y181 F182
3mbi:A:A1	A_A H93 H124
3t6r:A:A1	A_A D334 D356
3feg:A:A1	A_A N247 D264
7w8f:A:A1_A2	A_A W28 R69:A_A R169 R177 H179 T262 F263
3ice:D:D1	D_D T185 E211
3u0o:B:B1	B_B D91 D227
4j00:B:B1	B_B H281 D283
3ksq:B:B1	B_B H194 E198
2xdg:A:A1	A_A M0 D80
6qel:I:I1	I_I N113 D169
4xc5:A:A1	A_A N375 T454
7o1r:A:A1	A_A E109 H110 S113
4azw:A:A1_A2	A_A N356 D369:A_A E274 D369
1iwl:A:A1	A_A H17 D38
3qvq:A:A1	A_A E41 D43 E116
5owo:A:A1_A2_A3_A4	A_A N104 D106 H108:A_A T83 K112:A_A E58 K59:A_A H195 Q198 N199
4l57:A:A1	A_A D10 D12 D145
6b62:A:A1_A2	A_A E67 D82 L84:A_A D38 T40 P41 E67 E68
2r6o:A:A1	A_A E523 N584 E616 D646
3dlr:A:A1	A_A D128 D185
6u7b:C:C1	C_C D72 D74
8sqo:A:A1	A_A E51 H54 H130
8qoc:G:G1	G_G D25 K82
1v8v:A:A1	A_A L68 R81 E82
6o3p:B:B1_B2	B_B A354 E374 E415:B_B E370 E374 E415
6wsh:A:A1	A_A D10 D54 Q56
5ej0:A:A1	A_A E125 D127 S186 H239
4fmm:B:B1_B2	B_B Y93 H232:B_B Y150 F187 K311
1ppv:B:B1	B_B C67 E87
5ayr:B:B1	B_B D88 M89
4tyw:A:A1	A_A F442 V445 R466 R469
5xk9:C:C1	C_C D9 H167
4ged:A:A1	A_A E69 S72 S81 E92
4oxd:A:A1	A_A S121 T124
6cth:A:A1	A_A D393 D411
7rwh:A:A1	A_A Y141 G275 R313 Y335
4k6t:B:B1	B_B K212 E365
7rab:A:A1	A_A D241 N243 D245 E247 E249
4fhv:A:A1	A_A S90 D103
4i5q:A:A1	A_A S22 V24 M27
7vlm:A:A1	A_A E139 N173
3bwv:B:B1	B_B D9 D11 D135
5f5n:B:B1	B_B V32 S53
8q3v:b:b1	b_b A97 L100
4otu:B:B1	B_B E523 D568
5n2v:B:B1_B2	B_B E143 E146 E147 E192:B_B K127 E147
2qt0:A:A1	A_A T17 D36
1ig5:A:A1	A_A D54 N56 D58 E60
1h7u:B:A1	B_A F363 D364
2x4d:A:A1	A_A D17 S19 D214
5m1r:A:A1_A2	A_A G372 T375:A_A R150 A151
8cgi:M:M1	M_M T20 I22 V25
4jnd:A:A1_A2	A_A D202 D370 D415:A_A D202 G203
3t1o:A:A1_A2_A3_A4	A_A K25 V79 P80 G81:A_A D104 A106 L110:A_A R121 L124 A125 L129:A_A G42 E43 F57 D58
5e6f:A:A1	A_A D8 D131
8ihx:A:A1	A_A D386 Q404
6qj6:A:A1	A_A D37 D39 D216
5k8t:A:A1	A_A T201 E286
3f2a:A:A1	A_A E89 D186 F187
2hx0:A:A1	A_A H84 H86 H100
3opx:A:A1	A_A D38 D203
3fm5:C:C1	C_C D134 Q137
6tr4:A:A1_A2	A_A S107 T110 D113:A_A D74 F75 E131
7zvw:G:G1	G_G S21 S22
4ypm:A:A1	A_A L600 S678 T703
6vij:B:B1	B_B S20 T38
7jve:B:B1	B_B N111 D113 T114 K253
5d1r:A:A1	A_A N109 P110 A111 R112
6ya8:A:A1	A_A N182 D196
1d3y:B:B1	B_B E197 D249
8jgo:A:A1	A_A H340 H377 E378 D453
5uj7:D:D1	D_D T74 D159
1yrb:B:B1	B_B G65 P66 N67
3lac:B:B1	B_B P75 S183
4hqs:A:A1_A2_A3_A4	A_A V110 V111 S112 Y155:A_A G62 K63 T64:A_A S82 W83:A_A S112 H115 Y155
3wry:B:D1	B_D M85 G86
6kks:A:A1	A_A A97 V100 R103
6tww:A:A1	A_A H256 H293
8qyg:B:B1	B_B H-1 D3
3qy8:A:A1	A_A D14 H42 H201
2gsl:F:F1	F_F D23 E103
1wc1:A:A1_A2	A_A D1017 D1061:A_A D1017 I1018 D1061
2iii:A:A1	A_A D19 D22 D26
8aii:A:A1	A_A N119 D121 T122
4h1z:B:B1	B_B D215 E241 E267
4nz3:A:A1	A_A G223 G355
1auk:A:A1	A_A D29 D30 D281 N282
7sj2:B:B1	B_B D219 N471
5gv2:C:C1	C_C H108 H135
7y88:A:A1	A_A D232 S236
7nuz:A:A1	A_A P175 V177 D200
4tlt:A:A1	A_A E66 D99
1ryp:1:S1_11	1_S S76 S79:1_1 T183 H186 V189
1muw:A:A1_A2	A_A D162 E206 R207 Y211:A_A P35 L57 H70
6nz0:Z:Z1	Z_Z N405 R406 D435 D436 D481
6vpq:A:A1_A2	A_A T171 D172:A_A D176 Q179
7sf0:A:A1	A_A E126 E130 E183
3na8:A:A1	A_A V175 V178 D179 V181
8c04:A:A1	A_A E2 R3
4bhq:A:A1	A_A G154 T192
2pjp:A:A1	A_A K581 I584
2dlc:X:X1	X_X A47 T49 Y101
5cge:E:E1	E_E D88 K115 E120
5mmi:V:A1	V_A S133 N134
6hbv:A:A1	A_A V103 V106 A109
8ek7:C:C1	C_C E42 I44
9fp0:Q:Q1	Q_Q T16 D124
7qoc:A:A1	A_A H34 H58 D59 D122
8u9f:A:A1	A_A Y219 F221 F222 S224 Y241 T242
5de3:A:A1	A_A T30 T47
5a5y:A:A1	A_A E4 E169
6s83:B:B1	B_B D63 Q64
1z2n:X:X1	X_X D275 D289
3ozy:A:A1_A2	A_A D201 E227 E254:A_A H86 H90
1w78:A:A1	A_A S83 E146
2iyy:A:A1	A_A E38 S44 I45
4wh3:A:A1	A_A N213 D228
8cbs:B:B1	B_B D64 D116
6okh:A:A1	A_A H38 D79 I106
8dq3:D:D1	D_D E194 E299
5oeu:A:A1	A_A E175 V176 S335
7r97:A:A1_A2	A_A E41 E117:A_A D45 E117
8a7c:A:A1_A2	A_A D179 D183:A_A D179 D183
6vyd:A:A1_A2_A3	A_A D94 E98:A_A D94 E98:A_A N209 S213 E217
5zqa:A:A1	A_A D73 H185 E187
8iib:A:A1	A_A D398 D399
8dte:A:A1	A_A N112 V113 D115
8urp:A:A1_A2	A_A D96 D99 D117:A_A D96 D117 D121
3rfe:A:A1	A_A W21 T43
6cj0:A:A1	A_A D11 D13 D220
2fea:A:A1	A_A D11 D13 D170
8fdb:A:A1_A2	A_A G48 R49 I96 S97:A_A Y61 R211 Y215
5v0d:Z:Z1	Z_Z D152 D171 D173
8evw:B:B1_B2	B_B E299 N301:B_B D286 E299
2uxq:A:A1	A_A D272 D276
1rkq:A:A1	A_A D10 D12 D221
6a9f:A:A1	A_A D62 V67
4giu:A:A1_A2	A_A S119 E252:A_A D251 E252
4dmz:B:B1_B2	B_B S162 S163:B_B N377 D378 G447
4mv4:A:A1	A_A E276 E288
1pt6:A:A1	A_A S152 S154 D253
8ili:A:A1_A2	A_A D49 D51:A_A D49 D51 D100
2g0w:B:B1	B_B E142 D172 Q198 E248
8hq9:D:D1	D_D T45 T137
8sjc:C:C1	C_C S19 L22 H24 T27 E32
3jz0:A:A1_A2	A_A D40 E42:A_A D40 E42 E89
5z68:B:B1	B_B S37 D315 D316
6c1j:A:A1	A_A E18 D21
8zkc:A:A1	A_A S122 D145 G148 S150
6d9m:A:A1	A_A D38 L39 D81
5fml:B:B1_B2	B_B H41 D109 E120 V121:B_B E81 D109
2zyr:A:A1	A_A D405 R406 D409 K411 D431
6qp0:A:A1	A_A T15 D129
1qlg:A:A1_A2	A_A Y159 E211 E227 E260:A_A D258 E260
6iux:A:A1	A_A S54 D55 D56 D304
4qhe:A:A1	A_A D70 E96
1nr9:A:A1	A_A E70 D101
7boi:W:W1_W2	W_W S221 T250:W_W D111 D114
7ezi:A:A1	A_A D127 D129
3btx:A:A1	A_A H171 D173 H236
3ip0:A:A1_A2	A_A D95 D97:A_A D95 D97
5mfm:C:E1	C_E E235 N276
3vzx:B:B1_B2	B_B R56 F58:B_B E45 D46
7ob0:B:B1	B_B K76 D109
5u2i:B:B1	B_B K33 E78
1qhy:A:A1	A_A S17 D92
4rgv:B:B1	B_B D148 N152 A221
4zzv:A:A1	A_A P177 D179
3i0o:A:A1	A_A N217 D230
8jmj:D:D1	D_D T18 N45
2y7f:D:D1	D_D D61 E65
7msk:A:A1	A_A D144 H224
5eei:A:A1	A_A Y662 F793 W794
1uut:A:A1	A_A E82 H89 H91
8kih:A:A1	A_A D93 D97
4mhx:B:B1	B_B Q166 R169 P170 F171
8p84:B:B1	B_B E127 H190
2zs1:B:B1	B_B D55 S56
8h4c:A:A1_A2	A_A N246 D250:A_A E268 D295
3n7x:A:A1	A_A H77 F232
3dkx:C:C1	C_C D129 V132
4pal:A:A1	A_A D90 D92 D94 M96 E101
8h2f:A:A1	A_A D135 E137 D279
4ag5:A:A1	A_A S251 E274
9etk:A:A1_A2	A_A E65 H76 H191:A_A D13 H38 H250
6wmm:A:A1	A_A D247 H376
2x98:A:A1_A2_A3_A4	A_A D56 T172 E299:A_A D282 S285:A_A E361 E363:A_A S45 A47 Y158 D291
7nhh:B:B1	B_B D157 H332 H336
4j1o:A:A1	A_A D194 E219 D242
3fdo:A:A1_B1	A_A Q43 Y55:A_B M53 H54
2jkg:A:A1	A_A P91 D92
8big:G:G1	G_G N94 E96
6wuu:D:D1	D_D D286 G287
4tmx:B:B1	B_B T537 T557
5eks:A:A1	A_A E183 H246 H263
1jj2:2:21	2_2 G45 G47 D49
4x7y:A:A1	A_A D189 D216 D217
1htw:A:A1	A_A T47 E113
4ied:C:C1	C_C N134 E136
6k0g:A:A1	A_A E67 H115
3kra:A:A1	A_A D89 D91
6ekz:A:A1	A_A E122 G123 S126
6l59:B:B1	B_B N78 R272
4cls:A:A1	A_A D47 D99
7stb:D:D1	D_D T72 D140
2jfr:A:A1	A_A D35 G36
2hf9:A:A1	A_A T47 D75 E120
7eun:B:B1_B2	B_B D198 D200 D210 E241:B_B Q57 A58 E60 T61
1z0j:A:A1	A_A S19 T37
5keu:B:B1	B_B H115 D117 H265 N315
4a48:A:A1	A_A Q8 E10
5tk8:A:A1	A_A H31 D67 D132
7rva:C:C1	C_C E77 D81
8q8p:A:A1_A2	A_A H370 E374:A_A K325 S328
6ds1:B:B1	B_B I61 D62
3fd5:B:B1_B2	B_B D69 D110 D265:B_B D87 D110
4gve:A:A1	A_A D386 E388 D535
3wql:B:B1_B2	B_B D34 G206 F207 F213:B_B F207 R209
5uv4:A:A1	A_A N893 D907
3n1e:B:B1	B_B P940 Q941
5yew:A:A1	A_A S89 T109 D178
4iok:A:A1	A_A T75 E301
3oyz:A:A1	A_A E158 D192
1u02:A:A1	A_A D7 D9 D179
5esr:A:A1_A2	A_A N180 T183 R185:A_A H74 D293
2ivn:A:A1	A_A H111 G252 G253 D285
6ehh:C:C1	C_C T63 D89
7b1l:A:A1	A_A D41 D62 D66
2e67:A:A1	A_A D21 H60 H127
4s2x:A:A1_A2	A_A E54 E57 E58 E121:A_A Q38 E58 E121
7wcf:A:A1_A2	A_A E197 H199:A_A E197 N202 D219
5hc9:A:A1	A_A D57 D99
5lm9:A:A1	A_A V297 H348 E351
5cb6:A:A1	A_A T19 D42
7pgi:E:E1	E_E V271 E274
4xep:A:A1	A_A D8 D9 N92
3v1v:A:A1	A_A N345 S349 E353
4xpz:A:A1	A_A D170 D172 D298
4yb6:E:E1	E_E S226 K227
5u19:A:A1	A_A E98 D206
4d6o:A:A1_A2	A_A D21 A116:A_A G20 E117
6kqf:B:B1	B_B D183 D191 L192 D193
3nz2:C:C1	C_C N159 T175
6s6d:A:A1	A_A T21 T42
4d05:B:B1	B_B F97 F106 H157
8dpb:A:A1	A_A S69 D105 E154
3qxc:A:A1	A_A T14 D50 E116
3f61:A:A1_A2_A3_A4	A_A N143 D156:A_A K140 P141 A142:A_A G20 M22 S23:A_A N127 A267
1q8y:A:A1	A_A N299 D550
4x8l:B:B1	B_B G14 D84
2ale:A:A1	A_A D73 H132
3juk:D:D1	D_D T14 R15
6vpb:B:B1	B_B D275 S276 G279 R280
4dmb:B:B1_B2	B_B H49 H77 D78 D143:B_B E81 D86
4h54:A:A1	A_A D165 I166 E208 K277
8ood:A:A1	A_A T1114 G1115 N1132 H1134 N1135
5ck3:B:B1	B_B T64 H105 T106 S107
3wxx:G:G1	G_G L17 G20 G21 H65 Y66
5ld1:C:C1	C_C Q109 Q110 V111
2ved:B:B1	B_B M1055 S1056 D1157
3aqb:D:D1	D_D D84 D88
6h40:A:A1	A_A D141 H169 D170
3mel:C:C1	C_C D30 D49 D79
2qm1:B:B1	B_B N113 N116 G145
8pu1:B:B1	B_B K66 D90
4zkd:A:A1	A_A S281 S333
5w15:D:D1	D_D Q231 R244
5zct:H:H1	H_H D248 E260
3llu:A:A1	A_A S75 T96
5flg:A:A1	A_A D195 D196
7wjh:A:B1	A_B W137 Y195
1vsd:A:A1	A_A D64 D121
5jys:A:A1	A_A H208 L217 H250
1rya:A:A1	A_A G50 E70 Q123
5hia:A:A1	A_A E133 D134
6p58:A:A1	A_A E581 H584
6iej:A:A1	A_A D66 N68
7oi6:g:g1	g_g D99 I100
6iny:A:A1	A_A N247 D256
7x78:A:A1	A_A E73 H92 H94 H155
8sa8:D:D1	D_D F36 L54
8ub7:A:A1	A_A D138 F139 D215
2c5u:A:A1	A_A G269 D272
4ep4:B:B1	B_B D7 H143
7pul:A:A1_A2_A3	A_A Y710 F720 H749:A_A N598 S599 P600 G601 G660 D661:A_A D707 I709 Y710 Y711 V738 A739
7nsf:A:A1	A_A E7 E135
6wfv:A:A1	A_A D112 D115 H253
5llb:A:A1	A_A D62 D192
5hr6:B:B1	B_B L196 L203
8s1p:N:N1	N_N D23 E69
6ozr:B:B1	B_B D52 D126 D240
4s1h:A:A1	A_A D111 T141
5tds:D:D1	D_D D386 S389
7wc8:A:A1	A_A E1008 D1012
6pck:A:A1	A_A G50 E70
5nv1:A:A1	A_A D13 D25
2iub:F:F1	F_F P14 E88
3gf0:A:A1	A_A E93 G95
2huh:A:A1	A_A S203 F206
2qxf:A:A1	A_A E17 D186
3ats:A:A1_A2	A_A E57 D267 E269:A_A N254 D267
5le5:I:I1	I_I V174 D177 S180
6j2l:B:B1	B_B E153 E156 E172 D175
4ofz:A:A1	A_A D213 D215 D424
6x74:A:A1	A_A D548 L550 V553
9ayn:A:A1	A_A D34 L92 W93
6n2n:B:B1	B_B D102 N130 I132
7bxo:E:E1_E2	E_E D39 D41:E_E D39 D41 D71
6bff:A:A1	A_A D98 D135
4uop:B:B1	B_B E237 T279 D455 H456
2uu7:A:A1	A_A E136 E196 E203
3vk5:A:B1	A_B L137 A138 F140
3m6z:A:A1_A2	A_A S210 V211 A327 V349 N350 R351:A_A E266 L269
4uhd:A:A1	A_A A234 I237 S240
3kd3:A:A1	A_A D7 D9 D169
5jcz:C:C1	C_C R1807 R1809
2ox6:A:A1	A_A H32 E36
4pxx:A:A1	A_A H3 W5 H64
8su3:A:A1	A_A N240 S244 E248
1cul:A:A1	A_A D396 I397 D440
7jqq:A:A1	A_A S31 D118
2yhg:A:A1_A2_A3	A_A G876 D879 Y881:A_A Q721 S722 G724 A728:A_A G761 G762 G765 S799
4s32:A:A1	A_A N152 D165
4k7y:A:A1	A_A D372 Y375 Q376
7cbk:D:D1	D_D G189 V190 C220 D226
3n84:C:C1	C_C V122 V123
7lxr:B:B1	B_B T110 S229
2od0:B:B1	B_B P4 K7
2d0b:A:A1	A_A D97 E98 D202
1su2:A:A1_A2	A_A L13 A51:A_A S49 G50
5mru:A:A1	A_A H100 T103
1ys7:B:B1	B_B D15 D58 N60
6jmg:A:A1	A_A S30 T48
3ctl:A:A1	A_A H30 D32 H63 D173
5ee3:A:A1	A_A S38 D94
3ekg:A:A1	A_A D216 E242 E270
4u9u:A:A1	A_A K143 Y188 R315 M317
2flc:A:A1	A_A D62 Q81 V82
2hsj:D:D1	D_D A161 Y164 V167
5g0r:E:E1	E_E D99 D100 T101
8vap:D:D1	D_D T52 D126
7k72:C:C1	C_C Y32 F44
2yj3:A:A1	A_A I427 V428 A455
4f27:A:A1_A2	A_A Y468 Y470:A_A N216 V219 A347
4fpp:A:A1	A_A R30 D34
2xz9:A:A1	A_A E431 D455
3cnx:C:C1	C_C E25 F89
7s9h:A:A1	A_A F22 Q23
4ygs:A:A1	A_A D7 D9 D166
7dz2:A:A1	A_A E146 D179 H205 E240
8bms:B:B1	B_B S47 Q92
4qbo:A:A1	A_A E4 D32 E45 V46
8dx0:B:B1	B_B E211 D250 E252
3h70:A:A1	A_A D171 E196 D219
5cno:A:A1	A_A N818 D831
2zox:A:A1_A2	A_A R75 S223 T372:A_A T188 R285
4no4:A:A1	A_A E72 Q73
3vb9:B:B1	B_B A132 S349
2d5f:B:B1	B_B H383 E432
4h9d:B:B1	B_B A34 R35
8std:A:A1	A_A T126 D151
3mqy:A:A1_A2	A_A D188 F241:A_A E103 N149 L150 D188
2c43:A:A1	A_A D139 E191
2okv:B:B1	B_B V4 Q6 C28 L30
6p5a:A:A1	A_A D230 D303
7zy3:A:A1	A_A D242 T243
4m32:A:A1	A_A N48 D51
6a1l:A:A1	A_A D283 G284 I286 L304
3zxd:C:C1	C_C K249 D257
2h28:A:A1	A_A H88 D102 T103
5ayr:A:A1	A_A D145 N215
1h3i:B:A1	B_A E279 H283
3wad:A:A1	A_A E351 E355
6ftt:A:A1	A_A D76 T78
4aui:A:A1	A_A K9 E107
7tbr:A:A1	A_A D16 D19 L21 E26
2hvq:A:A1_A2	A_A X35 H37 E204:A_A I162 L164 N166 Y206
4gp2:A:A1_A2_A3	A_A D85 D89:A_A D85 D89:A_A D225 D229
7uj4:B:B1	B_B D180 E359
1miy:A:A1	A_A D40 A77
6vuy:A:A1	A_A A134 S358 L361 A363
5uj7:A:A1	A_A T541 D620
8acg:D:D1	D_D P59 L62 D486
8jon:A:A1	A_A T57 D149
6pjv:A:A1_A2	A_A E90 E126:A_A H140 D147 E176 H182
1tzf:A:A1	A_A D131 D236
5c5h:B:B2	B_B N61 P183
2yqc:A:A1	A_A N74 T77
3wnz:A:A1	A_A E311 E324
3n4p:B:B1_B2	B_B D463 E534:B_B D439 E618
6tzz:A:A1	A_A D146 D148 N268
6pr5:A:A1_A2	A_A D125 E185 D224:A_A D125 E435
8cgk:c:c1	c_c Y83 D84 R87
4f86:B:B1	B_B N45 E89
6atg:B:B1	B_B E116 Q119 N127 H130
3w15:A:A1	A_A D65 L66 C110 N111
7ljo:A:A1	A_A D73 D123
7epq:A:A1	A_A E118 S146 E148
3l12:A:A1	A_A E49 D51 E148
4afy:B:B1	B_B E475 Q671
2p06:B:B1	B_B E47 E50 E66 D69
2pnq:A:A1_A2	A_A D73 G74:A_A D73 D347 D445
3hpf:A:A1_A2	A_A D193 E221 H246:A_A D42 H45 T297
1w0n:A:A1	A_A Y40 D121
9iz4:B:B1	B_B D71 N99
7r4g:O:O1	O_O K35 E53
4v2i:A:A1	A_A Y186 T251 D255 R258
2bph:A:A1	A_A K156 D158 E162 E241
6eoi:B:B1	B_B G99 T100 A104 H120 S172
3cuz:A:A1	A_A E250 D278
8rog:A:A1	A_A S39 Q137
1hyo:A:A1	A_A D233 W234 K253 G256 T257
2eb1:A:A1	A_A E47 D152 E155
4twk:A:A1	A_A G113 H126 G260
7vke:A:A1	A_A S126 S220 T221 F222
5e5a:D:D1	D_D E102 K105 H106
4ibd:B:B1	B_B L232 P233 G234
2ons:A:A1	A_A E167 P173 D177
4f0q:A:A1	A_A D334 Q355 A356
7dsp:A:A1	A_A D258 E259
8sng:A:A1	A_A L271 T274 F276
5mf5:A:A1_A2_A3	A_A V40 N98:A_A E39 N98 E130 D160:A_A D161 D183
1nuw:A:A1_A2_A3_A4	A_A E1097 D1118 L1120:A_A E1097 D1118 D1121 R1276 E1280:A_A N1064 E1097 E1098:A_A D1068 E1097
4nbm:C:C1_C2	C_C T188 D190:C_C L273 N275 S276
5iuc:A:A1	A_A D399 E401 D427 N428 D490
1vr0:A:A1	A_A D26 G146 D155
7r5p:A:A1	A_A E43 D92
2ybd:A:A1	A_A D12 D14
5od9:A:A1	A_A E1089 Q1092
5odc:F:F1	F_F R48 D52 Y56
4ix3:B:B1	B_B D318 D338
7vi6:A:A1_A2	A_A D37 S73:A_A R50 C53 H55
6ime:A:A1	A_A Y261 G294
8j3y:A:A1	A_A E357 E359 A379 N467
5ktc:A:A1	A_A F4 N5
5hq8:A:A1	A_A P167 F169
8fr9:B:B1	B_B H215 E234
4oo1:E:E1	E_E D81 Q85
2e89:C:C1	C_C D36 H134 D137
6ac9:D:D1	D_D N182 D197
4gi2:A:A1	A_A V76 N77 N405
2yfd:A:A1	A_A E47 E50 E79 D82
3h87:A:A1	A_A D99 D117 D119
7tja:J:J1	J_J S46 N47
6is8:B:B1	B_B N115 D117
3vzd:C:C1	C_C G82 G342 E343
6zl7:B:A1	B_A H282 E293 P332
2gpy:B:B1	B_B N160 D206
3wfr:H:H1	H_H D58 D60
5mh6:C:C1_C2	C_C T132 A134:C_C F212 E213 M215 D243
7qp0:A:A1	A_A D188 D190
7wj6:A:A1_A2_A3_A4	A_A Q187 D220 R221:A_A A185 L216 L217 Q219:A_A Q34 V35 R92:A_A L64 P74
4hnz:A:A1	A_A T157 D160 S163
6e12:B:B1_B2	B_B H120 H124 E136:B_B H90 D121 H124
3gah:A:A1	A_A P76 A77 D79 H82
8xf0:C:C1	C_C D116 E117
7qgk:A:A1	A_A S210 N212 M214
6jum:A:A1_A2	A_A D9 L10 D107:A_A D9 D107 E108
5mh1:A:A1_A2	A_A P54 P112 C113 M124 G125:A_A N91 Y140 K141
8wzc:A:A1_A2	A_A Y564 D566 D584:A_A D565 D566
7q5v:A:A1_A2	A_A Q243 K244 S245 D246:A_A I280 N284
6qta:A:A1	A_A S4789 S4791 T4863
4qgp:A:A1	A_A E33 E36 E64 D67
8qfe:A:A1	A_A D156 I157 D200
8t2j:A:A1_A2	A_A D105 G106:A_A D105 D314 D366
6njd:B:B1	B_B H185 E186
6chu:A:A1	A_A E112 D138
2cw6:A:A1	A_A D42 H233 H235 N275
3a7r:A:A1	A_A K133 V180 S182
2oiw:A:A1	A_A S11 T13
3g1b:B:B1	B_B R42 E117
7vws:B:B1_B2	B_B D191 D195:B_B D191 D195
2iaf:A:A1	A_A L79 D80 N82
2a84:A:A1	A_A D88 D89
4miw:A:A1	A_A D89 C103
5o8z:B:B1	B_B D11 D56 S58
1inp:A:A1	A_A D54 E79 I155
8bv3:E:E1	E_E T55 D111
1vq8:T:T1	T_T Q37 L112 S114
2xcl:A:A1	A_A E283 N285
2y27:A:A1_A2	A_A Q350 L353:A_A V203 S205 L207 M229 G230
7jpo:E:E1	E_E T44 D125
5t5i:A:A1	A_A V340 T344
6sum:A:A1	A_A N208 D220
1mjn:A:A1	A_A S139 S141 D239
8jk9:A:A1_A2	A_A V89 H91 G92 T118:A_A E115 I116 T118 V119
8yo4:C:C1	C_C D557 D559
3dkc:A:A1	A_A N1209 D1222
4uyr:A:A1	A_A H7 G34 S69
5dok:A:A1	A_A G187 E188 R191 S339 Y340
5l0q:A:A1	A_A I459 N462 M464 E466 E469 D472
6sll:A:A1	A_A V116 P118 F161
6a1d:A:A1_A2	A_A D316 D320:A_A D316 D320
6gs8:A:A1	A_A L151 N153 V156
